case_id,activity,timestamp,resource,attributes
COMP-20240001,start,2026-03-04T00:00:00,system_auto,"{""report_type"": ""SOC2"", ""period"": ""Q32026""}"
COMP-20240001,collect,2026-03-04T05:12:59.460080,system_auto,"{""records_collected"": 1242}"
COMP-20240001,validate,2026-03-04T16:45:00.343763,agent_compliance_1,"{""validation_passed"": true}"
COMP-20240001,approve,2026-03-05T09:04:51.944801,human_auditor,{}
COMP-20240001,submit,2026-03-06T07:59:46.362094,system_auto,"{""submitted_to"": ""regulatory_authority""}"
COMP-20240001,archive,2026-03-07T13:43:53.221462,system_auto,"{""archive_location"": ""/compliance/SOC2/COMP-20240001""}"
COMP-20240002,start,2026-02-11T00:00:00,system_auto,"{""report_type"": ""GDPR"", ""period"": ""Q12026""}"
COMP-20240002,collect,2026-02-11T06:59:53.028809,system_auto,"{""records_collected"": 2904}"
COMP-20240002,validate,2026-02-11T11:17:12.529698,agent_compliance_2,"{""validation_passed"": true}"
COMP-20240002,approve,2026-02-12T00:59:33.298969,human_auditor,{}
COMP-20240002,submit,2026-02-13T00:22:27.620507,system_auto,"{""submitted_to"": ""regulatory_authority""}"
COMP-20240002,archive,2026-02-14T21:08:56.242136,system_auto,"{""archive_location"": ""/compliance/GDPR/COMP-20240002""}"
COMP-20240003,start,2026-01-24T00:00:00,system_auto,"{""report_type"": ""HIPAA"", ""period"": ""Q32026""}"
COMP-20240003,collect,2026-01-24T07:01:07.989016,system_auto,"{""records_collected"": 8266}"
COMP-20240003,validate,2026-01-24T14:54:29.761785,agent_compliance_2,"{""validation_passed"": true}"
COMP-20240003,approve,2026-01-25T04:02:31.171607,human_auditor,{}
COMP-20240003,submit,2026-01-26T14:21:45.237678,system_auto,"{""submitted_to"": ""regulatory_authority""}"
COMP-20240003,archive,2026-01-27T09:03:42.704575,system_auto,"{""archive_location"": ""/compliance/HIPAA/COMP-20240003""}"
COMP-20240004,start,2026-03-24T00:00:00,system_auto,"{""report_type"": ""PCI_DSS"", ""period"": ""Q42026""}"
COMP-20240004,collect,2026-03-24T07:52:52.595722,system_auto,"{""records_collected"": 7889}"
COMP-20240004,validate,2026-03-24T19:51:08.952397,agent_compliance_1,"{""validation_passed"": true}"
COMP-20240004,approve,2026-03-25T22:16:01.784306,human_auditor,{}
COMP-20240004,submit,2026-03-26T17:37:59.355029,system_auto,"{""submitted_to"": ""regulatory_authority""}"
COMP-20240004,archive,2026-03-27T01:31:40.715537,system_auto,"{""archive_location"": ""/compliance/PCI_DSS/COMP-20240004""}"
COMP-20240005,start,2026-01-26T00:00:00,system_auto,"{""report_type"": ""GDPR"", ""period"": ""Q12026""}"
COMP-20240005,collect,2026-01-26T04:24:51.745261,system_auto,"{""records_collected"": 1536}"
COMP-20240005,validate,2026-01-26T16:20:33.269197,agent_compliance_2,"{""validation_passed"": true}"
COMP-20240005,approve,2026-01-27T19:39:10.341674,human_auditor,{}
COMP-20240005,submit,2026-01-28T13:03:35.626713,system_auto,"{""submitted_to"": ""regulatory_authority""}"
COMP-20240005,archive,2026-01-29T16:27:19.037934,system_auto,"{""archive_location"": ""/compliance/GDPR/COMP-20240005""}"
COMP-20240006,start,2026-03-18T00:00:00,system_auto,"{""report_type"": ""GDPR"", ""period"": ""Q12026""}"
COMP-20240006,collect,2026-03-18T03:01:53.343851,system_auto,"{""records_collected"": 9961}"
COMP-20240006,validate,2026-03-18T14:01:00.078505,agent_compliance_2,"{""validation_passed"": true}"
COMP-20240006,approve,2026-03-19T02:07:50.166214,human_auditor,{}
COMP-20240006,submit,2026-03-20T09:31:09.783547,system_auto,"{""submitted_to"": ""regulatory_authority""}"
COMP-20240006,archive,2026-03-21T15:12:09.605019,system_auto,"{""archive_location"": ""/compliance/GDPR/COMP-20240006""}"
COMP-20240007,start,2026-01-04T00:00:00,system_auto,"{""report_type"": ""GDPR"", ""period"": ""Q32026""}"
