case_id,activity,timestamp,resource,attributes
CUST-20240001,start,2026-01-24T00:00:00,system_auto,"{""tier"": ""enterprise""}"
CUST-20240001,create,2026-01-24T02:21:34.678667,agent_onboarding,{}
CUST-20240001,verify,2026-01-24T19:24:06.659278,agent_onboarding,"{""documents_verified"": true}"
CUST-20240001,approve,2026-01-25T09:52:14.775096,human_manager,{}
CUST-20240001,assign,2026-01-26T01:26:47.353695,agent_sales_2,"{""account_manager"": ""am_6""}"
CUST-20240001,complete,2026-01-27T02:30:24.550541,system_auto,"{""onboarding_complete"": true}"
CUST-20240002,start,2026-03-06T00:00:00,system_auto,"{""tier"": ""enterprise""}"
CUST-20240002,create,2026-03-06T03:35:54.984317,agent_sales_1,{}
CUST-20240002,verify,2026-03-06T16:42:07.345065,agent_onboarding,"{""documents_verified"": true}"
CUST-20240002,approve,2026-03-07T15:52:08.643271,human_manager,{}
CUST-20240002,assign,2026-03-08T07:17:19.465511,agent_sales_1,"{""account_manager"": ""am_10""}"
CUST-20240002,complete,2026-03-09T02:22:50.688895,system_auto,"{""onboarding_complete"": true}"
CUST-20240003,start,2026-02-05T00:00:00,system_auto,"{""tier"": ""standard""}"
CUST-20240003,create,2026-02-05T01:12:31.701232,agent_sales_1,{}
CUST-20240003,verify,2026-02-05T07:37:27.328246,agent_onboarding,"{""documents_verified"": true}"
CUST-20240003,approve,2026-02-06T05:46:22.861070,system_auto,{}
CUST-20240003,assign,2026-02-07T22:49:13.136165,agent_sales_1,"{""account_manager"": ""am_7""}"
CUST-20240003,complete,2026-02-08T14:44:21.036461,system_auto,"{""onboarding_complete"": true}"
CUST-20240004,start,2026-01-05T00:00:00,system_auto,"{""tier"": ""standard""}"
CUST-20240004,create,2026-01-05T01:54:18.075773,agent_onboarding,{}
CUST-20240004,verify,2026-01-05T05:34:51.296461,agent_onboarding,"{""documents_verified"": true}"
CUST-20240004,approve,2026-01-06T01:41:47.057466,human_manager,{}
CUST-20240004,assign,2026-01-07T18:19:57.897799,agent_sales_1,"{""account_manager"": ""am_10""}"
CUST-20240004,complete,2026-01-08T01:48:42.856524,system_auto,"{""onboarding_complete"": true}"
CUST-20240005,start,2026-02-17T00:00:00,system_auto,"{""tier"": ""standard""}"
CUST-20240005,create,2026-02-17T02:26:52.098673,agent_onboarding,{}
CUST-20240005,verify,2026-02-17T05:06:30.184540,agent_onboarding,"{""documents_verified"": true}"
CUST-20240005,approve,2026-02-18T05:10:05.416963,human_manager,{}
CUST-20240005,assign,2026-02-19T20:12:52.305786,agent_sales_2,"{""account_manager"": ""am_6""}"
CUST-20240005,complete,2026-02-20T16:18:30.164073,system_auto,"{""onboarding_complete"": true}"
CUST-20240006,start,2026-03-31T00:00:00,system_auto,"{""tier"": ""standard""}"
CUST-20240006,create,2026-03-31T01:35:25.161468,agent_onboarding,{}
CUST-20240006,verify,2026-03-31T20:09:11.218078,agent_onboarding,"{""documents_verified"": true}"
CUST-20240006,approve,2026-04-01T08:11:20.605832,human_manager,{}
CUST-20240006,assign,2026-04-02T22:43:02.398652,agent_sales_1,"{""account_manager"": ""am_10""}"
CUST-20240006,complete,2026-04-03T08:29:38.477574,system_auto,"{""onboarding_complete"": true}"
CUST-20240007,start,2026-02-15T00:00:00,system_auto,"{""tier"": ""enterprise""}"
CUST-20240007,create,2026-02-15T03:31:29.449540,agent_sales_2,{}
CUST-20240007,verify,2026-02-15T04:14:32.824404,agent_onboarding,"{""documents_verified"": true}"
CUST-20240007,approve,2026-02-16T17:05:37.716123,human_manager,{}
CUST-20240007,assign,2026-02-17T20:42:05.070621,agent_sales_2,"{""account_manager"": ""am_8""}"
CUST-20240007,complete,2026-02-18T12:40:59.857243,system_auto,"{""onboarding_complete"": true}"
CUST-20240008,start,2026-02-13T00:00:00,system_auto,"{""tier"": ""standard""}"
CUST-20240008,create,2026-02-13T02:08:56.288013,agent_sales_1,{}
CUST-20240008,verify,2026-02-13T19:20:43.340954,agent_onboarding,"{""documents_verified"": true}"
CUST-20240008,approve,2026-02-14T05:30:03.729358,system_auto,{}
CUST-20240008,assign,2026-02-15T00:39:26.291663,agent_sales_2,"{""account_manager"": ""am_6""}"
CUST-20240008,complete,2026-02-16T09:28:27.246984,system_auto,"{""onboarding_complete"": true}"
CUST-20240009,start,2026-02-06T00:00:00,system_auto,"{""tier"": ""standard""}"
CUST-20240009,create,2026-02-06T02:45:16.209826,agent_sales_2,{}
CUST-20240009,verify,2026-02-06T15:04:16.858271,agent_onboarding,"{""documents_verified"": true}"
CUST-20240009,approve,2026-02-07T03:47:31.279139,human_manager,{}
CUST-20240009,assign,2026-02-08T05:05:37.685673,agent_sales_1,"{""account_manager"": ""am_9""}"
CUST-20240009,complete,2026-02-09T23:41:46.864247,system_auto,"{""onboarding_complete"": true}"
CUST-20240010,start,2026-02-27T00:00:00,system_auto,"{""tier"": ""standard""}"
CUST-20240010,create,2026-02-27T03:37:51.928287,agent_sales_2,{}
