case_id,activity,timestamp,resource,attributes
INV-20240001,create,2026-03-12T00:00:00,system_auto,"{""amount"": ""694.73"", ""vendor"": ""vendor_47""}"
INV-20240001,submit,2026-03-12T10:42:17.242462,agent_finance_1,{}
INV-20240001,review,2026-03-13T10:50:24.260386,agent_finance_1,{}
INV-20240001,approve,2026-03-14T09:16:33.370335,agent_finance_2,{}
INV-20240001,process,2026-03-15T22:44:40.315460,system_auto,"{""payment_method"": ""ACH""}"
INV-20240001,complete,2026-03-16T13:28:27.957431,system_auto,{}
INV-20240002,create,2026-03-19T00:00:00,system_auto,"{""amount"": ""1713.14"", ""vendor"": ""vendor_46""}"
INV-20240002,submit,2026-03-19T20:07:21.541306,agent_finance_2,{}
INV-20240002,review,2026-03-20T05:38:38.465098,agent_finance_2,{}
INV-20240002,approve,2026-03-21T06:04:23.014282,agent_finance_1,{}
INV-20240002,process,2026-03-22T07:15:26.235118,system_auto,"{""payment_method"": ""ACH""}"
INV-20240002,complete,2026-03-23T08:23:27.343220,system_auto,{}
INV-20240003,create,2026-03-14T00:00:00,system_auto,"{""amount"": ""6192.73"", ""vendor"": ""vendor_43""}"
INV-20240003,submit,2026-03-14T21:42:50.872194,human_reviewer,{}
INV-20240003,review,2026-03-15T17:44:07.527631,agent_finance_1,{}
INV-20240003,approve,2026-03-16T10:51:55.137686,agent_finance_1,{}
INV-20240003,process,2026-03-17T10:41:26.942437,system_auto,"{""payment_method"": ""ACH""}"
INV-20240003,complete,2026-03-18T10:58:45.508688,system_auto,{}
INV-20240004,create,2026-03-30T00:00:00,system_auto,"{""amount"": ""9014.71"", ""vendor"": ""vendor_50""}"
INV-20240004,submit,2026-03-30T18:46:16.897179,agent_finance_2,{}
INV-20240004,review,2026-03-31T17:04:46.476385,agent_finance_1,{}
INV-20240004,approve,2026-04-01T08:49:20.738684,agent_finance_1,{}
INV-20240004,process,2026-04-02T00:08:40.779407,system_auto,"{""payment_method"": ""ACH""}"
INV-20240004,complete,2026-04-03T16:48:54.411911,system_auto,{}
INV-20240005,create,2026-03-11T00:00:00,system_auto,"{""amount"": ""2308.68"", ""vendor"": ""vendor_19""}"
INV-20240005,submit,2026-03-11T03:42:03.454859,agent_finance_1,{}
INV-20240005,review,2026-03-12T19:17:17.118606,agent_finance_2,{}
INV-20240005,approve,2026-03-13T11:12:34.885025,agent_finance_1,{}
INV-20240005,process,2026-03-14T22:00:55.780459,system_auto,"{""payment_method"": ""ACH""}"
INV-20240005,complete,2026-03-15T09:18:07.440710,system_auto,{}
INV-20240006,create,2026-01-13T00:00:00,system_auto,"{""amount"": ""9494.30"", ""vendor"": ""vendor_29""}"
INV-20240006,submit,2026-01-13T07:57:48.571105,agent_finance_1,{}
INV-20240006,review,2026-01-14T21:57:46.137447,agent_finance_1,{}
INV-20240006,approve,2026-01-15T02:57:27.587243,agent_finance_1,{}
INV-20240006,process,2026-01-16T10:42:22.694431,system_auto,"{""payment_method"": ""ACH""}"
INV-20240006,complete,2026-01-17T04:28:36.866283,system_auto,{}
INV-20240007,create,2026-03-18T00:00:00,system_auto,"{""amount"": ""8886.63"", ""vendor"": ""vendor_8""}"
INV-20240007,submit,2026-03-18T19:27:29.861199,agent_finance_1,{}
INV-20240007,review,2026-03-19T12:44:29.621707,agent_finance_2,{}
INV-20240007,approve,2026-03-20T20:43:09.582872,agent_finance_1,{}
INV-20240007,process,2026-03-21T05:56:10.457035,system_auto,"{""payment_method"": ""ACH""}"
INV-20240007,complete,2026-03-22T19:33:26.235515,system_auto,{}
INV-20240008,create,2026-01-05T00:00:00,system_auto,"{""amount"": ""3406.34"", ""vendor"": ""vendor_43""}"
INV-20240008,submit,2026-01-05T14:27:18.796740,agent_finance_2,{}
INV-20240009,create,2026-03-20T00:00:00,system_auto,"{""amount"": ""2470.66"", ""vendor"": ""vendor_39""}"
INV-20240009,submit,2026-03-20T15:12:34.515115,human_reviewer,{}
INV-20240009,review,2026-03-21T09:38:29.204438,agent_finance_1,{}
INV-20240009,approve,2026-03-22T17:42:55.125938,agent_finance_2,{}
